Date,Close
2017-08-04,180.270004
2017-08-07,180.800003
2017-08-08,179.986669
2017-08-09,178.9350015
2017-08-10,176.976001
2017-08-11,176.04666650000001
2017-08-14,175.32571414285715
2017-08-15,174.472499875
2017-08-16,173.97333277777776
2017-08-17,173.1849991
2017-08-18,172.58090763636363
2017-08-21,172.0958315833333
2017-08-22,171.88384423076923
2017-08-23,171.68214092857144
2017-08-24,171.44533186666666
2017-08-25,171.1018734375
2017-08-28,170.86764529411764
2017-08-29,170.75333155555555
2017-08-30,170.9605247368421
2017-08-31,171.14799885
2017-09-01,171.31904676190476
2017-09-05,171.04523723809524
2017-09-06,170.94618952380952
2017-09-07,170.97666566666666
2017-09-08,171.0071418095238
2017-09-11,171.6174995
2017-09-12,172.26190400000002
2017-09-13,172.8638087142857
2017-09-14,173.5366660952381
2017-09-15,174.1257141904762
2017-09-18,175.43150020000002
2017-09-19,175.9195236666667
2017-09-20,176.8123808095238
2017-09-21,177.73809523809524
2017-09-22,178.609048
2017-09-25,179.76300045
2017-09-26,179.74476257142857
2017-09-27,180.45190571428572
2017-09-28,181.01809614285716
2017-09-29,181.3352391904762
2017-10-02,181.7800003
2017-10-03,181.65666704761904
2017-10-04,181.78363659090908
2017-10-05,182.68681818181818
2017-10-06,183.5400001818182
2017-10-09,184.73000004761906
2017-10-10,185.20045468181817
2017-10-11,185.80090886363635
2017-10-12,186.28772736363635
2017-10-13,187.0081821818182
2017-10-16,188.18476142857142
2017-10-17,188.6981811818182
2017-10-18,189.19454472727273
2017-10-19,189.62409072727272
2017-10-20,190.01727295454546
2017-10-23,190.32000004761906
2017-10-24,190.57909113636362
2017-10-25,191.27090936363638
2017-10-26,191.99045490909091
2017-10-27,192.7890909090909
2017-10-30,194.17523771428574
2017-10-31,194.27772659090908
2017-11-01,195.23181772727273
2017-11-02,196.14681795454544
2017-11-03,196.85409059090907
2017-11-06,197.0719045238095
2017-11-07,197.01818154545452
2017-11-08,196.9986364090909
2017-11-09,196.9449996818182
2017-11-10,196.8118181818182
2017-11-13,196.64714266666664
2017-11-14,196.6045455909091
2017-11-15,196.12454568181818
2017-11-16,195.9440910909091
2017-11-17,195.8377276363636
2017-11-20,195.86857166666664
2017-11-21,195.88500004545452
2017-11-22,196.06000031818184
